0x004480ba	SystemTimeToFileTime
0x004480d2	LocalAlloc
0x004480e0	InitializeCriticalSection
0x004480fc	TlsAlloc
0x00448108	DeleteCriticalSection
0x00448120	GlobalHandle
0x00448130	TlsFree
0x0044813a	LeaveCriticalSection
0x00448152	EnterCriticalSection
0x0044816a	TlsSetValue
0x00448178	LocalReAlloc
0x00448188	TlsGetValue
0x00448196	GlobalFlags
0x004481a4	GetProcessVersion
0x004481b8	GetCPInfo
0x004481c4	GetOEMCP
0x004481d0	SetErrorMode
0x004481e0	GetCurrentDirectoryA
0x004481f8	SizeofResource
0x0044820a	RtlUnwind
0x00448216	GetFileType
0x00448224	HeapAlloc
0x00448230	HeapFree
0x0044823c	RaiseException
0x0044824e	GetStartupInfoA
0x00448260	GetCommandLineA
0x00448272	ExitProcess
0x00448280	CreateThread
0x00448290	ExitThread
0x0044829e	GetTimeZoneInformation
0x004482b8	GetSystemTime
0x004482c8	GetLocalTime
0x004482d8	GetACP
0x004482e2	TerminateProcess
0x004482f6	SetStdHandle
0x00448306	HeapSize
0x00448312	HeapReAlloc
0x00448320	SetHandleCount
0x00448332	GetStdHandle
0x00448342	GetEnvironmentVariableA
0x0044835c	GetVersionExA
0x0044836c	HeapDestroy
0x0044837a	HeapCreate
0x00448388	VirtualFree
0x00448396	VirtualAlloc
0x004483a6	IsBadWritePtr
0x004483b6	SetUnhandledExceptionFilter
0x004483d4	GetDriveTypeA
0x004483e4	UnhandledExceptionFilter
0x00448400	FreeEnvironmentStringsA
0x0044841a	FreeEnvironmentStringsW
0x00448434	GetEnvironmentStrings
0x0044844c	GetEnvironmentStringsW
0x00448466	LCMapStringA
0x00448476	LCMapStringW
0x00448486	GetStringTypeA
0x00448498	GetStringTypeW
0x004484aa	IsBadReadPtr
0x004484ba	IsBadCodePtr
0x004484ca	CompareStringA
0x004484dc	CompareStringW
0x004484ee	SetEnvironmentVariableA
0x00448506	KERNEL32.dll
0x00448516	GetSysColor
0x00448524	CopyRect
0x00448530	InvalidateRect
0x00448542	OffsetRect
0x00448550	SetRect
0x0044855a	SendMessageA
0x0044856a	GetAsyncKeyState
0x0044857e	GetParent
0x0044858a	EnableWindow
0x0044859a	wsprintfA
0x004485a6	PostMessageA
0x004485b6	ReleaseDC
0x004485c2	GetDC
0x004485ca	GetClientRect
0x004485da	LoadCursorA
